First,Last,Email,Class,DOB
Hope,Craft,Aenean.eget@Nullasemper.edu,Junior,3/18/1966
Cadman,Russo,ante.iaculis.nec@sapienCras.com,Senior,6/29/2011
Karyn,Rodgers,ante.ipsum.primis@duiFusce.ca,Senior,2/13/1986
Alfreda,Mcgee,at.lacus.Quisque@cursusnon.org,Senior,8/21/2016
Rina,Kidd,auctor.odio@Vestibulum.ca,Senior,1/13/1943
Preston,Gilbert,augue.eu@nulla.org,Sophomore,6/8/1973
Stone,Whitfield,cursus@nonummy.edu,Freshman,10/31/2003
Wyatt,Duke,dapibus.ligula@quamCurabiturvel.ca,Sophomore,11/13/1966
Raya,Houston,diam@idenim.com,Senior,9/10/1939
Ray,Vega,dictum.Proin.eget@lobortis.org,Sophomore,9/27/1966
Guy,Whitaker,dignissim@Nullatemporaugue.co.uk,Junior,10/19/1968
Barry,Swanson,dolor.tempus.non@ornare.edu,Senior,12/20/1968
Orli,Humphrey,Donec@Duisami.net,Junior,2/24/1954
Signe,Townsend,Duis@elementumdui.com,Senior,7/9/2014
Sade,Callahan,Duis@ipsumsodalespurus.co.uk,Senior,5/21/2013
Kylan,Sparks,egestas.ligula.Nullam@mus.edu,Sophomore,7/2/1982
Elijah,Adams,egestas.rhoncus.Proin@ridiculusmus.org,Sophomore,11/30/1935
Iona,Moses,enim.Sed@bibendumfermentum.com,Junior,4/5/1939
Victoria,Ayala,enim.sit.amet@amifringilla.org,Senior,3/27/2012
Holmes,Noel,enim@Fusce.ca,Freshman,3/8/1931
Brett,Frazier,erat.neque@dolordolortempus.com,Sophomore,8/17/2001
Magee,Roman,erat.semper.rutrum@Crasdictumultricies.net,Freshman,12/21/1956
Kelly,Cole,est.ac.mattis@Duis.org,Junior,7/28/2014
Serena,Fuentes,et@utaliquamiaculis.co.uk,Senior,1/9/2026
Odysseus,Bass,Etiam.bibendum.fermentum@gravidanunc.ca,Junior,12/8/1941
Dustin,Terry,Etiam@aliquam.net,Sophomore,5/26/1998
Bernard,Saunders,eu.enim@urnajusto.org,Junior,11/30/1968
Alexis,Pace,eu@nec.edu,Sophomore,12/18/1999
Lacy,Becker,euismod@massa.co.uk,Senior,8/17/1943
Damon,Edwards,facilisis@Ut.ca,Senior,11/27/1986
Fuller,Harrell,faucibus.ut@pharetra.ca,Freshman,3/15/1936
Sebastian,Kemp,felis.eget.varius@indolorFusce.edu,Freshman,10/28/2016
Russell,Delacruz,felis.purus@amet.org,Senior,6/9/1966
Salvador,Nieves,feugiat.nec.diam@orci.net,Sophomore,5/31/2018
Liberty,Zimmerman,feugiat@gravidasitamet.ca,Freshman,4/5/2013
Coby,Boyer,fringilla@velpede.edu,Sophomore,5/5/2006
Gloria,Franklin,id.libero.Donec@Fuscefeugiat.ca,Junior,9/28/1975
Maryam,Doyle,imperdiet.erat@feugiat.edu,Junior,6/26/1959
Maile,Thornton,in@penatibuset.edu,Junior,3/14/2014
Brynne,Sanford,lacus@Integersemelit.ca,Junior,7/6/1976
Myles,Peck,leo.Cras.vehicula@ultricessit.org,Freshman,6/26/2008
Abbot,Le,leo.Morbi@diamat.ca,Freshman,8/15/1996
Pamela,Peck,ligula@In.org,Freshman,7/22/1964
Galvin,Carpenter,lorem.eget.mollis@erat.edu,Sophomore,3/22/2017
Elliott,Dickson,luctus.ipsum.leo@ultrices.edu,Junior,8/28/1982
Dara,Peck,luctus.ut@lectusrutrum.org,Freshman,5/15/1941
Eliana,Hill,luctus.ut@Sed.com,Junior,3/19/1964
Heidi,Pitts,luctus@vulputatenisi.org,Senior,1/30/1932
Orson,Hunt,magna.a.tortor@nec.ca,Sophomore,3/15/1930
Jessamine,Burks,magnis.dis@liberoDonecconsectetuer.co.uk,Sophomore,8/29/1952
Mufutau,Rhodes,malesuada.id.erat@lacus.com,Junior,6/19/1950
Adara,Mcknight,malesuada.Integer@leoCras.co.uk,Sophomore,6/16/1998
Adam,Rocha,massa.Suspendisse.eleifend@apurus.edu,Freshman,2/27/1973
Rosalyn,Villarreal,mauris.id@tortor.edu,Freshman,2/21/2015
Kareem,Blanchard,mauris.rhoncus@morbitristiquesenectus.ca,Freshman,9/6/2004
Lesley,Short,mauris@Maecenasmifelis.net,Freshman,4/13/1989
Alan,Meadows,molestie.Sed.id@liberoDonec.net,Junior,4/13/2005
Pandora,Trujillo,Nam@quis.edu,Freshman,3/10/1974
Kiara,Evans,nec.ligula.consectetuer@odio.com,Junior,5/28/1962
Harding,Bridges,nec.tempus.scelerisque@mifringilla.co.uk,Junior,10/26/1935
Hiroko,Hoffman,neque.tellus.imperdiet@vitaealiquameros.net,Senior,8/13/2011
Axel,Hanson,neque@vel.ca,Senior,12/3/2005
Brady,Estes,non.bibendum.sed@aultriciesadipiscing.net,Senior,8/12/1964
Kirk,Carrillo,non.enim@gravida.co.uk,Junior,10/6/1976
Kimberly,Carr,non@nuncsitamet.net,Sophomore,10/20/2011
Ethan,Yang,nonummy@enim.co.uk,Senior,12/28/2007
Dexter,Bean,Nulla.interdum.Curabitur@acnulla.edu,Freshman,9/10/1972
Bert,Zamora,Nullam.suscipit.est@metusInnec.edu,Freshman,5/17/1948
Otto,Frederick,Nunc.quis.arcu@mauris.org,Freshman,8/6/1983
Mollie,Barry,Nunc.ut@tellus.net,Senior,12/13/1931
Nero,Aguilar,orci.Ut@orciluctus.org,Freshman,7/29/1964
Martena,Moore,ornare.placerat@Nullamvitae.com,Sophomore,1/4/1952
